title, release, cast1, cast2, cast3, cast4, cast5, crew1, crew2, crew3, crew4, crew5, genra, NotListed, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
Horendi, 1972-01-01, , , , , , Jean Rouch, Gilbert Rouget, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Camping Out, 1932-08-09, , , , , , Dick Huemer, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Velveteen Rabbit, 2009-01-01, Matthew Harbour, Jane Seymour, Tom Skerritt, Ellen Burstyn, Kevin Jubinville, Michael Landon,  Jr., Michael Landon,  Jr., Cindy Kelley, Animation-Drama-Family-ScienceFiction,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,,
Rasmus Seebach - Live, 2012-11-12, Rasmus Seebach, , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tetsuo II: Body Hammer, 1992-01-01, Tomorowo Taguchi, Shinya Tsukamoto, Nobu Kanaoka, Sujin Kim, Hideaki Tezuka, Shinya Tsukamoto, Shinya Tsukamoto, Chu Ishikawa, Shinya Tsukamoto, Shinya Tsukamoto, Drama-Foreign-Horror-ScienceFiction-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,,
All the World's a Stooge, 1941-05-16, Curly Howard, Lelah Tyler, Emory Parnell, , , Del Lord, John Grey, , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
?: A Question Mark, 2012-02-17, Kiran Bhatia, Yaman Chatwal, Maanvi Gagroo, Chirag Jain, , Allyson Patel, Yash Dave, Yash Dave, , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Laugh and Learn About Newborn Baby Care, 2005-03-24, Sheri Bayles, , , , , Expect This LLC, , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Cafe del Mar: The Legend, 2008-07-06, , , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
There's Always Tomorrow, 1956-02-01, Barbara Stanwyck, Fred MacMurray, Joan Bennett, William Reynolds, Pat Crowley, Douglas Sirk, Ursula Parrott, Bernard C. Schoenfeld, Ross Hunter, Heinz Roemheld, Comedy-Drama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Up Your Alley, 1971-08-04, Haji, Uschi Digard, , , , Art Lieberman, , , , , Comedy-Crime,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Family Rescue, 1997-01-14, George C. Scott, Rachael Leigh Cook, Don Diamont, , , Graeme Campbell, Linda Taddeo, , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Locked Down, 2010-11-09, Vinnie Jones, Tony Schiena, Rashad Evans, Kimbo Slice, Forrest Griffin, Daniel Zirilli, D. Glase Lomond, Daniel Zirilli, Bobby Mort, , Action-Drama-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,
31st Haul, 2013-03-22, , , , , , Denis Klebleev, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Babushka, 2004-02-03, Nina Shubina, Olga Onishchenko, Anna Ovsyannikova, Vladimir Kulakow, Sergey Anufriev, Lidya Bobrova, Lidya Bobrova, Valeri Revich, Pavel Novikov, , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Il pianto delle zitelle, 1939-01-01, , , , , , Giacomo Pozzi-Bellini, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
In Name Only, 1939-08-03, Carole Lombard, Cary Grant, Kay Francis, Charles Coburn, Helen Vinson, Richard Sherman, Bessie Breuer, John Cromwell, , , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Suzanne Farrell: Elusive Muse, 1996-10-05, Suzanne Farrell, , , , , Anne Belle, Deborah Dickson, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ghostride the Whip: The Hyphy Movement, 2008-07-28, Sway, E-40, Mistah F.A.B., B-Legit, J-Diggs, DJ Vlad, Lazlo, DJ Vlad, David Wilson, , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
WWE Fatal 4-Way 2010, 2010-06-20, John Cena, Stephen Farrelly, Randy Orton, Adam Copeland, T.J. Wilson, Kevin Dunn, , , , , Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Sterne in der Stadt, 1975-05-27, , , , , , Haro Senft, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Beyond Sherwood Forest, 2009-11-28, Mark Gibbon, Bill Dow, Julian Sands, Richard de Klerk, Robin Dunne, Peter DeLuise, Chase Parker, , , , Action-Adventure-Fantasy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,,
Magane En Marumagane, 2010-05-21, Vivek, , , , , , , , , , Comedy-Drama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
A Green Journey, 1990-10-21, Angela Lansbury, Denholm Elliott, Cynthia Nixon, Robert Prosky, Garrison Hershberger, Joseph Sargent, , , , , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Black Sabbath: Never Say Die, 1978-01-01, Ozzy Osbourne, Tony Iommi, Geezer Butler, Bill Ward, Black Sabbath, Brian Wiseman, , , , , Documentary-Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Last Homecoming, 2008-01-01, Maria Kitsou, Christopher Greco, Stavros Louras, Hristodoulos Martas, Despina Bebedelli, Korinna Avraamidou, , , , , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
My Tale Is Hot, 1964-01-01, , , , , , Peter Perry Jr., Peter Perry Jr., , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Orphan, 2009-07-24, Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder, Jimmy Bennett, Jaume Collet-Serra, David Johnson, Alex Mace, Leonardo DiCaprio, Susan Downey, Horror-Mystery-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
UFO: Target Earth, 1974-09-01, Nick Plakias, Cynthia Cline, LaVerne Light, Tom Arcuragi, Phil Erickson, Michael A. DeGaetano, Michael A. DeGaetano, Michael A. DeGaetano, Jerry Crowder, , ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
AFR, 2007-04-20, , , , , , Morten Hartz Kaplers, , , , , Drama-Foreign-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,
Marillion - Holidays in Zelande, 2012-03-12, Steve Hogarth, Steve Rothery, Mark Kelly, Pete Trewavas, Ian Mosley, , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Eddie Griffin: Voodoo Child, 1997-01-01, Eddie Griffin, , , , , , , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Washing Machine, 1993-01-01, Philippe Caroit, Ilaria Borrelli, Katarzyna Figura, Yorgo Voyagis, Barbara Ricci, Ruggero Deodato, , , , , Horror-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Superstar, 1999-10-08, Molly Shannon, Will Ferrell, Elaine Hendrix, Harland Williams, Tom Green, Bruce McCulloch, Molly Shannon, Steve Koren, , , Comedy-Family,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Sammy Hagar and The Wabos: Livin' It Up! Live in St. Louis, 2007-06-19, , , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Reconvergence, 2012-05-06, Eustace Conway, Caleb Whitaker, S. Waite Rawls III, Preston Estep III, , Edward Tyndall, Patrick Weaver, Tyler Brodie, Cameron Brodie, Jason Wells, Documentary-Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
Bellator 10, 2009-06-03, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Android Insurrection, 2012-06-21, Juanita Arias, Nat Cassidy, Joe Chapman, Rebecca Kush, Beckett Lee, Andrew Bellware, David Ian Lee, Nat Cassidy, , , ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Electric Blue 004, 1981-01-01, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Aflatoon, 1997-12-19, Akshay Kumar, Urmila Matondkar, Anupam Kher, Shazia Malik, Farida Jalal, , , , , , Action-Crime-Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
Antardwand, 2010-08-27, Raj Singh Chaudhary, Swati Sen, Vinay Pathak, Akhilendra Mishra, , Sushil Rajpal, , , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Rats of Tobruk, 1944-06-30, Grant Taylor, Peter Finch, Chips Rafferty, Pauline Garrick, , Charles Chauvel, , , , , Action-Foreign-War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Boz: Thank You God for Colors and Shapes, 2006-03-14, , , , , , Jeff Gittle, Jon Green, Dennis DeShazer, , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Nicky Deuce, 2013-05-27, James Gandolfini, Michael Imperioli, Noah Munck, Rita Moreno, Steve Schirripa, Jonathan Rosenbaum, Ronald Gilbert, Ronald Gilbert, Steve Schirripa, Robyn Snyder, Comedy-Family,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Cannes Man, 1996-01-01, Seymour Cassel, Francesco Quinn, Rebecca Broussard, Luana Anders, Lloyd Kaufman, Richard Martini, Richard Martini, Deric Haddad, Susan Shapiro, Irwin M. Rappaport, Comedy-Drama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Double, 2012-12-25, Aleksandr Revva, Kristina Asmus, Dmitriy Khrustalev, Lyudmila Artemeva, Kseniya Buravskaya, Evgeniy Abyzov, Sergei Bessmertnyy, Pavel Karnaukhov, , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Final Draft, 2007-09-18, James Van Der Beek, Darryn Lucio, Tara Spencer-Nairn, Jeff Roop, , Jonathan Dueck, , , , , Horror-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Empire of Ash, 1988-07-01, Melanie Kilgour, Thom Schioler, Frank Wilson, James Stevens, Alexander MacKenzie, Lloyd A. Simandl, Michael Mazo, Lloyd A. Simandl, John Ogis, Saul Urbonas, Action-Fantasy-ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,,
Freeze Frame, 2004-05-01, Lee Evans, Sean McGinley, Ian McNeice, Colin Salmon, , Brendan McCarthy, John Simpson, Michael Casey, Martha O'Neill, Debbie Wiseman, Crime-Drama-Foreign-Thriller,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,
Touchback, 2011-09-28, Brian Presley, Kurt Russell, Melanie Lynskey, Marc Blucas, Christine Lahti, Don Handfield, Don Handfield, , , , Drama-Family-Fantasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,
Moonrise, 1948-10-01, Dane Clark, Gail Russell, Ethel Barrymore, Allyn Joslyn, Harry Morgan, Frank Borzage, Charles F. Haas, Ted Strauss, William Lava, John L. Russell, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
This Time for Keeps, 1942-03-01, Ann Rutherford, Robert Sterling, Guy Kibbee, Irene Rich, Virginia Weidler, Charles Reisner, Herman J. Mankiewicz, Muriel Roy Bolton, Rian James, Harry Ruskin, Comedy-Romance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Charlie Chan in the Secret Service, 1944-02-14, Sidney Toler, Mantan Moreland, Arthur Loft, Gwen Kenyon, Sarah Edwards, Phil Rosen, Earl Derr Biggers, George Callahan, , , Comedy-Crime-Mystery,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
I Killed That Man, 1941-11-28, Ricardo Cortez, Joan Woodbury, Pat Gleason, George Pembroke, Iris Adrian, Phil Rosen, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dinner Time, 1928-10-13, , , , , , Paul Terry, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fate of Graduates, 1934-01-01, , , , , , Yunwei Ying, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dream House, 2011-09-30, Daniel Craig, Naomi Watts, Rachel Weisz, Marton Csokas, Elias Koteas, Jim Sheridan, David Loucka, Daniel Bobker, Ehren Kruger, James G. Robinson, Drama-Mystery-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,
Role/Play, 2010-06-03, Steve Callahan, Matthew Montgomery, David Pevsner, Brian Nolan, Matthew Stephen Herrick, Rob Williams, Rob Williams, , , , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Little City, 1997-04-04, , , , , , , , , , , Comedy-Romance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Hot Snow, 1972-06-06, Georgi Zhzhyonov, Boris Tokarev, Nikolay Eryomenko St., Anatoliy Kuznetsov, Yuriy Nazarov, Evgeniy Grigorev, Yuri Bondarev, Yuri Bondarev, Gavriil Yegiazarov, Gavriil Yegiazarov, War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Black Christmas, 1974-10-11, Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon, Marian Waldman, Bob Clark, Roy Moore, Bob Clark, Findlay Quinn, Carl Zittrer, Horror-Mystery-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
Casper, 1995-05-26, Christina Ricci, Bill Pullman, Cathy Moriarty, Eric Idle, Joe Nipote, Brad Silberling, Sherri Stoner, Deanna Oliver, Colin Wilson, Gerald R. Molen, Comedy-Family-Fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Tropical Manila, 2008-01-01, Jerald de Vera, Kim  Su-Nam, , , , Lee Sang-Woo, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Uncharted: Drake's Fortune, 2007-11-16, , , , , , , , , , , Action-Adventure-Animation-Thriller,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,
Forgotten Island, 2012-09-07, , , , , , Adi Geisegger, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Forbidden Christ, 1951-06-08, , , , , , Curzio Malaparte, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Downhill, 1927-10-24, Ivor Novello, Robin Irvine, Isabel Jeans, Ian Hunter, Sybil Rhoda, Alfred Hitchcock, Ivor Novello, Constance Collier, Eliot Stannard, , Adventure-Thriller,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,
White Men Can't Jump, 1992-03-26, Wesley Snipes, Woody Harrelson, Rosie Perez, Tyra Ferrell, , Ron Shelton, Ron Shelton, Don Miller, David V. Lester, Russell Boyd, Comedy-Drama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Father Hood, 1993-08-27, Patrick Swayze, Halle Berry, Sabrina Lloyd, Brian Bonsall, Michael Ironside, Scott Spencer, Darrell James Roodt, , , , Action-Comedy-Family,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,
Na Boca da Noite, 1971-10-15, Rubens Correia, Ivan de Albuquerque, , , , Walter Lima Jr., Walter Lima Jr., , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Twin Spirits: Sting performs Schumann, 2009-09-29, Sting, Trudie Styler, Simon Keenlyside, , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Flint Street Nativity, 1999-12-22, Mark Addy, Mina Anwar, Jane Horrocks, Jason Hughes, Dervla Kirwan, Marcus Mortimer, Tim Firth, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stalker, 2010-10-17, Anna Brecon, Linda Hayden, Jane March, Jennifer Matter, Billy Murray, Martin Kemp, Martin Kemp, James Kenelm Clarke, Jonathan Sothcott, James Friend, Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Everything Went Down, 2013-05-02, Kate Tucker, Noah Drew, , , , Dustin Morrow, Dustin Morrow, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
His Kind of Woman, 1951-08-29, Robert Mitchum, Jane Russell, Vincent Price, Tim Holt, Charles McGraw, John Farrow, Frank Fenton, Jack E. Leonard, Harry J. Wild, Leigh Harline, Drama-Romance-Thriller,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
The Face of Eve, 1968-08-05, Celeste Yarnall, Robert Walker,  Jr., Herbert Lom, Christopher Lee, Robert Lynn, Jeremy Summers, Harry Alan Towers, Harry Alan Towers, , Adventure,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Black Country Communion: Live over Europe, 2011-10-24, Joe Bonamassa, Glenn Hughes, Derek Sherinian, Jason Bonham, , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hanbando, 2006-07-13, Cha In-Pyo, Ji-Hwan Jo, , , , Kang Woo-Suk, , , , , Drama-Mystery-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,
Amuck!, 1972-03-21, Farley Granger, Barbara Bouchet, Rosalba Neri, Petar Martinovitch, Dino Mele, Silvio Amadio, Silvio Amadio, Italo Zingarelli, Teo Usuelli, Aldo Giordani, Drama-Horror-Mystery,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,
UFC 39: The Warriors Return, 2002-09-27, Ricco Rodriguez, Randy Couture, Tim Sylvia, Wesley Correira, B.J. Penn, , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Manchester United: Beyond the Promised Land, 2000-01-01, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Animal Beatbox, 2011-02-20, , , , , , Damon Gameau, Damon Gameau, , , , Animation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Interviews With My Next Girlfriend, 2002-06-06, Diane Flacks, Moynan King, Ann-Marie MacDonald, Pamela Matthews, Sonja Mills, Cassandra Nicolaou, Cassandra Nicolaou, Cassandra Nicolaou, Maria Popoff, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Next of Kin, 1989-10-20, Patrick Swayze, Liam Neeson, Adam Baldwin, Helen Hunt, Bill Paxton, John Irvin, Michael Jenning, , , , Action-Adventure-Drama-Thriller,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,,
Brenda Starr, 1989-07-20, Brooke Shields, Timothy Dalton, Tony Peck, Diana Scarwid, Nestor Serrano, Robert Ellis Miller, Noreen Stone, Noreen Stone, Jenny Wolkind, Dale Messick, Adventure-Fantasy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,
Popi, 1969-05-27, Alan Arkin, Rita Moreno, Reuben Figueroa, Miguel Alejandro, Arny Freeman, Arthur Hiller, Herbert B. Leonard, Dominic Frontiere, Andrew Laszlo, , Comedy-Drama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Cirque du Soleil: Flowers in the Desert, 2010-11-26, , , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Panorama of Galveston Power House, 1900-05-21, , , , , , Albert E. Smith, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Catwoman, 2004-07-23, Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson, Frances Conroy, Pitof, Thierry Arbogast, Sylvie Landra, Denise Di Novi, Edward McDonnell, Action-Crime,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
The Trap, 1985-01-01, Michelle Bauer, Julia Parton, , , , Barbara Behr, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Teen Handjobs 2, 2006-06-01, Sativa Rose, Roxy Jezel, Brooke, Naudia Nyce, Kelly Kline, Taylor Rain, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Virgin Sky, 2002-09-24, Sola Aoi, , , , , Yukihiko Shimamura, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Il Mare, 2000-09-09, Lee Jung-jae, Jun Ji-hyun, Kim Mu-saeng, Seung-Yeon Jo, Yun-jae Min, Eun-Jeong Kim, Ji-na Yeo, Hyeoncheol Kim, Kyung-Pyo Hong, Eun Soo Lee, Drama-Fantasy-Foreign-Romance-ScienceFiction,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,,
Orapronobis, 1989-05-24, Phillip Salvador, Dina Bonnevie, Gina Alajar, Bembol Roco, Ginnie Sobrino, Lino Brocka, Jose F. Lacaba, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fighting Tools, 1943-10-01, Mel Blanc, , , , , , , , , , Animation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Dragon Painter, 1919-10-04, Sessue Hayakawa, Tsuru Aoki, Edward Peil Sr., Toyo Fujita, , William Worthington, Richard Schayer, Mary McNeil Fenollosa, Mark Izu, Frank D. Williams, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The German, 2008-10-18, Toby Kebbell, Christian Brassington, Glenn Mullins, Gary Murphy, Killian O'Sullivan, Nick Ryan, Nick Ryan, Nick Ryan, Ruairi Robinson, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mrs. Dalloway, 1997-09-01, Vanessa Redgrave, Natascha McElhone, Michael Kitchen, Alan Cox, Sarah Badel, Marleen Gorris, Eileen Atkins, , , , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Chinna Raja, 1999-02-12, Karthik Muthuraman, Roja Selvamani, Priya Raman, Chitra Lakshmanan, Jaishankar, Deva, Chitra Lakshmanan, Chithra Ramu, , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Two Women, 1960-01-01, Sophia Loren, Jean-Paul Belmondo, Eleonora Brown, Carlo Ninchi, Andrea Checchi, Vittorio De Sica, Cesare Zavattini, Vittorio De Sica, , , Drama-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
LYNYRD SKYNYRD LIVE AT ROCKPALAST, 2008-01-01, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hafalan Shalat Delisa, 2011-12-22, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zigeunerdans af troubaduren, 1906-05-23, , , , , , Peter Elfelt, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Black Belt Jones, 1974-07-19, Jim Kelly, Gloria Hendry, Scatman Crothers, Eric Laneuville, Alan Weeks, Robert Clouse, Alexandra Rose, Alex Ross, Fred Weintraub, Oscar Williams, Action-Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Daisy, 2006-03-09, Jun Ji-hyun, Jung Woo-Sung, Lee Sung-jae, Cheon Ho-Jin, David Chiang, Andrew Lau Wai-Keung, Shigeru Umebayashi, Felix Chong, Kwak Jae-Young, , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Man Who Collected Food, 2010-05-02, Mike N. Kelly, Gary Wagner, Lila Miller, Russell Fox, Joey Urreta, Matthew Roth, Daniel Alcheh, James Mann, Paula Stein, Matthew Roth, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Honorable, 2012-05-01, , , , , , , , , , , Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
On the Sly, 2011-09-30, Wynona Ringer, Olivier Ringer, Macha Ringer, Ursula Noyer, Jean-Claude Lenaert, Olivier Ringer, Olivier Ringer, Yves Ringer, , , Family-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,
Navy Blue and Gold, 1937-11-19, Robert Young, James Stewart, Florence Rice, Billie Burke, Lionel Barrymore, Sam Wood, George Bruce, , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Muthu Kaalai, 1995-02-24, Karthik Muthuraman, Soundarya, Goundamani, Napoleon, Vadivelu, Ilayaraja, Gokula Krishnan, Radhika Reddy, , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Black Panther, 1973-09-28, Chan Sing, Nancy Yen Nan-See, , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
